symbol_name,Precision,Description,ContractSize,MarginMode,security,MarginCurrency,ProfitCurrency,minVolFilter
AMD,2,Advanced Micro Devices Inc. (AMD),1,1,US Stocks & ETFs,AMD,USD,100
BIDU,2,Baidu Inc (BIDU),1,1,US Stocks & ETFs,BIDU,USD,100
BAC,2,Bank of America Corp (BAC),1,1,US Stocks & ETFs,BAC,USD,100
CSCO,2,Cisco Systems Inc. (CSCO),1,1,US Stocks & ETFs,CSCO,USD,100
FTNT,2,Fortinet Inc (FTNT),1,1,US Stocks & ETFs,FTNT,USD,100
C,2,Citigroup Inc. (C),1,1,US Stocks & ETFs,C,USD,100
XOM,2,Exxon Mobil Corporation (XOM),1,1,US Stocks & ETFs,XOM,USD,100
EBAY,2,eBay Inc. (EBAY),1,1,US Stocks & ETFs,EBAY,USD,100
INTC,2,Intel Corporation (INTC),1,1,US Stocks & ETFs,INTC,USD,100
JPM,2,JPMorgan Chase & Co. (JPM),1,1,US Stocks & ETFs,JPM,USD,100
NIO,2,NIO Inc. (NIO),1,1,US Stocks & ETFs,NIO,USD,100
NVDA,2,NVIDIA Corporation (NVDA),1,1,US Stocks & ETFs,NVDA,USD,100
QCOM,2,QUALCOMM Inc. (QCOM),1,1,US Stocks & ETFs,QCOM,USD,100
SQM,2,Sociedad Quimica y Minera S.A. (SQM),1,1,US Stocks & ETFs,SQM,USD,100
WFC,2,Wells Fargo & Co (WFC),1,1,US Stocks & ETFs,WFC,USD,100
UBER,2,Uber Technologies Inc. (UBER),1,1,US Stocks & ETFs,UBER,USD,100
725,2,BOE Technology Group Co Ltd (000725),1,1,CN Stocks,725,CNH,5
BA,2,Boeing Co (BA),1,1,US Stocks & ETFs,BA,USD,100
SSYS,2,Stratasys Ltd (SSYS),1,1,US Stocks & ETFs,SSYS,USD,100
MTLS,2,Materialise NV (MTLS),1,1,US Stocks & ETFs,MTLS,USD,100
FSLR,2,First Solar Inc (FSLR),1,1,US Stocks & ETFs,FSLR,USD,100
ILMN,2,Illumina Inc (ILMN),1,1,US Stocks & ETFs,ILMN,USD,100
NTLA,2,Intellia Therapeutics Inc (NTLA),1,1,US Stocks & ETFs,NTLA,USD,100
CGC,2,Canopy Growth Corp (CGC),1,1,US Stocks & ETFs,CGC,USD,100
ACB,2,Aurora Cannabis Inc (ACB),1,1,US Stocks & ETFs,ACB,USD,100
CRON,2,Cronos Group Inc (CRON),1,1,US Stocks & ETFs,CRON,USD,100
TDOC,2,Teladoc Health Inc (TDOC),1,1,US Stocks & ETFs,TDOC,USD,100
BWA,2,BorgWarner Inc (BWA),1,1,US Stocks & ETFs,BWA,USD,100
CVNA,2,Carvana Co (CVNA),1,1,US Stocks & ETFs,CVNA,USD,100
JMIA,2,Jumia Technologies AG (JMIA),1,1,US Stocks & ETFs,JMIA,USD,100
BYND,2,Beyond Meat Inc (BYND),1,1,US Stocks & ETFs,BYND,USD,100
PANW,2,Palo Alto Networks Inc (PANW),1,1,US Stocks & ETFs,PANW,USD,100
RMD,2,ResMed Inc (RMD),1,1,US Stocks & ETFs,RMD,USD,100
IONS,2,Ionis Pharmaceuticals Inc (IONS),1,1,US Stocks & ETFs,IONS,USD,100
A,2,Agilent Technologies Inc. (A),1,1,US Stocks & ETFs,A,USD,100
AAL,2,American Airlines Group Inc. (AAL),1,1,US Stocks & ETFs,AAL,USD,100
AAP,2,Advance Auto Parts Inc. (AAP),1,1,US Stocks & ETFs,AAP,USD,100
ABBV,2,AbbVie Inc. (ABBV),1,1,US Stocks & ETFs,ABBV,USD,100
COR,2,Cencora Inc. (COR),1,1,US Stocks & ETFs,ABC,USD,100
ABT,2,Abbott Laboratories (ABT),1,1,US Stocks & ETFs,ABT,USD,100
